Comment,Designator,Footprint,LCSC
EN,"SW1,SW2",SW_Push_SPST_NO_Alps_SKRK,C115357
AO3401A,Q1,SOT-23,C15127
10u,"C2,C3,C5",C_0402_1005Metric,C15525
CHG,"D2,D3",LED_0603_1608Metric,C2286
4.7u,"C1,C4",C_0402_1005Metric,C23733
470,"R5,R6",R_0402_1005Metric,C25117
100k,R2,R_0402_1005Metric,C25741
10k,"R7,R8",R_0402_1005Metric,C25744
3.3k,R1,R_0402_1005Metric,C25890
5.1k,"R3,R4",R_0402_1005Metric,C25905
0.1u,"C6,C7",C_0402_1005Metric,C307331
USB-C,J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,C319148
MCP73831-2-OT,U1,SOT-23-5,C424093
AP2112K-3.3,U2,SOT-23-5,C51118
B5819W,D1,D_SOD-123,C8598
Conn_01x09,J4,PinHeader_1x09_P2.54mm_Vertical,
ESP32-C3-WROOM-02,U3,ESP32-C3-WROOM-02,
Conn_01x09,J3,PinHeader_1x09_P2.54mm_Vertical,
Conn_01x02,J2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,
